company_name,sector,quarter,year,revenue_m,operating_profit_m,net_income_m
MarketPlace Corp,RETAIL,Q2,2024,428.7,31.19,22.74
TrendLine Retail,RETAIL,Q2,2024,195.21,36.25,27.04
ValueStore Ltd,RETAIL,Q2,2024,385.23,22.76,16.35
QuickBuy Group,RETAIL,Q2,2024,351.67,18.12,12.51
SteelBridge Corp,MANUFACTURING,Q2,2024,159.56,12.36,8.36
ProduceMaster Ltd,MANUFACTURING,Q2,2024,217.42,11.21,9.24
AutoParts Inc,MANUFACTURING,Q2,2024,141.97,17.89,14.51
BuildRight Group,MANUFACTURING,Q2,2024,302.63,65.57,55.2
PrecisionMfg,MANUFACTURING,Q2,2024,90.68,20.16,12.35
AquaCity Water,UTILITIES,Q2,2024,64.28,15.06,12.93
PowerGrid Corp,UTILITIES,Q2,2024,340.0,55.99,45.51
GasNet Utilities,UTILITIES,Q2,2024,261.76,19.12,11.59
CleanEnergy Ltd,UTILITIES,Q2,2024,215.76,45.37,35.64
CityServices Inc,UTILITIES,Q2,2024,466.85,109.22,68.42
Swift Logistics,TRANSPORTATION,Q3,2024,430.02,42.43,32.95
GlobalShip Co,TRANSPORTATION,Q3,2024,285.78,36.91,25.58
AirFreight Inc,TRANSPORTATION,Q3,2024,202.78,23.65,15.38
RailLink Corp,TRANSPORTATION,Q3,2024,279.72,20.37,15.34
OceanTrade Ltd,TRANSPORTATION,Q3,2024,457.67,54.86,44.89
NexaTech,TECHNOLOGY,Q3,2024,418.53,89.15,59.81
CloudPeak Systems,TECHNOLOGY,Q3,2024,115.9,10.37,8.1
DataBridge Corp,TECHNOLOGY,Q3,2024,392.1,71.01,46.38
InnoCode Ltd,TECHNOLOGY,Q3,2024,397.78,59.2,48.92
QuantumSoft,TECHNOLOGY,Q3,2024,391.94,54.79,48.06
MedCore Group,HEALTHCARE,Q3,2024,304.02,53.83,42.38
LifeSciences Ltd,HEALTHCARE,Q3,2024,438.91,77.0,49.69
BioTech Corp,HEALTHCARE,Q3,2024,80.73,11.18,7.72
PharmaNet Inc,HEALTHCARE,Q3,2024,173.6,10.63,8.0
HealthFirst,HEALTHCARE,Q3,2024,189.68,26.63,16.43
CapitalOne Ventures,FINANCE,Q3,2024,424.26,27.72,23.82
Sterling Bank,FINANCE,Q3,2024,434.88,75.23,56.58
PrimeAsset Mgmt,FINANCE,Q3,2024,258.22,41.54,34.79
EquityPath Corp,FINANCE,Q3,2024,453.14,63.42,53.46
FundGrow Ltd,FINANCE,Q3,2024,343.33,39.24,29.14
SolarVast Inc,ENERGY,Q3,2024,117.89,7.35,4.64
GreenPower Corp,ENERGY,Q3,2024,454.61,53.96,43.94
OilField Partners,ENERGY,Q3,2024,277.05,23.41,15.79
WindHarvest Ltd,ENERGY,Q3,2024,246.99,34.06,25.78
FuelCore Group,ENERGY,Q3,2024,121.44,15.13,10.36
ShopNation Inc,RETAIL,Q3,2024,233.95,27.53,21.46
MarketPlace Corp,RETAIL,Q3,2024,405.15,72.71,45.06
TrendLine Retail,RETAIL,Q3,2024,92.53,17.18,11.77
ValueStore Ltd,RETAIL,Q3,2024,375.68,68.12,59.39
QuickBuy Group,RETAIL,Q3,2024,442.98,51.68,40.04
SteelBridge Corp,MANUFACTURING,Q3,2024,113.64,13.63,12.13
ProduceMaster Ltd,MANUFACTURING,Q3,2024,364.32,46.78,36.42
AutoParts Inc,MANUFACTURING,Q3,2024,472.1,52.84,37.68
BuildRight Group,MANUFACTURING,Q3,2024,406.25,86.38,69.19
PrecisionMfg,MANUFACTURING,Q3,2024,423.03,83.66,67.4
AquaCity Water,UTILITIES,Q3,2024,286.88,51.41,37.38
PowerGrid Corp,UTILITIES,Q3,2024,212.82,26.07,17.05
GasNet Utilities,UTILITIES,Q3,2024,146.39,35.07,26.16
CleanEnergy Ltd,UTILITIES,Q3,2024,151.94,11.78,7.34
CityServices Inc,UTILITIES,Q3,2024,429.99,30.2,25.1
Swift Logistics,TRANSPORTATION,Q4,2024,383.22,86.89,53.12
GlobalShip Co,TRANSPORTATION,Q4,2024,181.39,36.87,23.57
AirFreight Inc,TRANSPORTATION,Q4,2024,197.57,16.29,13.84
RailLink Corp,TRANSPORTATION,Q4,2024,357.29,75.68,49.17
OceanTrade Ltd,TRANSPORTATION,Q4,2024,222.26,29.38,23.59
NexaTech,TECHNOLOGY,Q4,2024,141.2,19.6,13.44
CloudPeak Systems,TECHNOLOGY,Q4,2024,348.16,48.67,37.0
DataBridge Corp,TECHNOLOGY,Q4,2024,170.33,36.06,26.71
InnoCode Ltd,TECHNOLOGY,Q4,2024,383.22,47.35,41.86
QuantumSoft,TECHNOLOGY,Q4,2024,443.7,63.15,43.23
MedCore Group,HEALTHCARE,Q4,2024,199.66,31.05,27.63
LifeSciences Ltd,HEALTHCARE,Q4,2024,375.84,79.02,50.69
BioTech Corp,HEALTHCARE,Q4,2024,146.25,26.07,22.48
PharmaNet Inc,HEALTHCARE,Q4,2024,269.59,19.01,16.23
HealthFirst,HEALTHCARE,Q4,2024,389.72,41.7,34.57
CapitalOne Ventures,FINANCE,Q4,2024,155.48,35.93,23.15
Sterling Bank,FINANCE,Q4,2024,222.18,53.16,35.44
PrimeAsset Mgmt,FINANCE,Q4,2024,227.71,27.31,16.6
EquityPath Corp,FINANCE,Q4,2024,66.57,10.01,6.71
FundGrow Ltd,FINANCE,Q4,2024,447.78,55.96,34.05
SolarVast Inc,ENERGY,Q4,2024,421.98,91.92,73.08
GreenPower Corp,ENERGY,Q4,2024,365.51,28.33,19.44
OilField Partners,ENERGY,Q4,2024,381.05,72.1,46.26
WindHarvest Ltd,ENERGY,Q4,2024,330.74,46.21,27.8
FuelCore Group,ENERGY,Q4,2024,77.09,7.8,6.63
ShopNation Inc,RETAIL,Q4,2024,267.27,52.24,39.62
MarketPlace Corp,RETAIL,Q4,2024,90.03,9.69,6.69
TrendLine Retail,RETAIL,Q4,2024,64.34,8.62,7.23
ValueStore Ltd,RETAIL,Q4,2024,230.13,16.61,14.48
QuickBuy Group,RETAIL,Q4,2024,286.68,15.28,11.53
SteelBridge Corp,MANUFACTURING,Q4,2024,142.98,11.25,8.2
ProduceMaster Ltd,MANUFACTURING,Q4,2024,294.0,28.85,20.92
AutoParts Inc,MANUFACTURING,Q4,2024,314.07,21.08,18.81
BuildRight Group,MANUFACTURING,Q4,2024,72.41,11.24,8.45
PrecisionMfg,MANUFACTURING,Q4,2024,445.27,71.61,51.35
AquaCity Water,UTILITIES,Q4,2024,235.4,41.7,37.29
PowerGrid Corp,UTILITIES,Q4,2024,147.73,7.87,6.58
GasNet Utilities,UTILITIES,Q4,2024,184.65,36.3,28.62
CleanEnergy Ltd,UTILITIES,Q4,2024,357.46,70.43,49.28
CityServices Inc,UTILITIES,Q4,2024,62.96,10.02,8.46
